6.566943359375000000e+02;5.581109619140625000e+02
6.333923950195312500e+02;5.349398193359375000e+02
6.121759643554687500e+02;4.943166809082031250e+02
6.390307617187500000e+02;4.672302246093750000e+02
6.610513916015625000e+02;4.459375305175781250e+02
6.899451293945312500e+02;4.685354919433593750e+02
6.728618164062500000e+02;4.328826293945312500e+02
6.299981079101562500e+02;4.334548034667968750e+02
5.984163208007812500e+02;4.145557556152343750e+02
5.908939819335937500e+02;3.707414855957031250e+02
6.166547851562500000e+02;3.393409423828125000e+02
5.783805541992187500e+02;3.213303527832031250e+02
5.657854003906250000e+02;2.823858642578125000e+02
5.944048461914062500e+02;2.758741760253906250e+02
6.084255981445312500e+02;2.225421295166015625e+02
6.309230346679687500e+02;2.303429870605468750e+02
6.599124145507812500e+02;2.266284179687500000e+02
6.615588989257812500e+02;2.170457000732421875e+02
6.973881835937500000e+02;1.803962249755859375e+02
6.909658813476562500e+02;1.345793304443359375e+02
6.354970092773437500e+02;1.333225860595703125e+02
6.497313232421875000e+02;6.233315658569335938e+01
6.232487182617187500e+02;6.918928527832031250e+01
5.958360595703125000e+02;8.181300354003906250e+01
5.582008056640625000e+02;4.198814630508422852e-01
5.002566833496093750e+02;6.491364288330078125e+01
4.948592529296875000e+02;1.481217803955078125e+02
5.303626708984375000e+02;1.376881256103515625e+02
5.472661743164062500e+02;1.616589202880859375e+02
5.003825073242187500e+02;1.987428436279296875e+02
5.066191406250000000e+02;2.330022125244140625e+02
5.364894409179687500e+02;2.872279052734375000e+02
4.711014404296875000e+02;3.142219238281250000e+02
4.365194702148437500e+02;2.829356384277343750e+02
4.150258483886718750e+02;2.333045349121093750e+02
3.975586547851562500e+02;2.313591156005859375e+02
4.004070129394531250e+02;2.536794433593750000e+02
3.783484497070312500e+02;2.722907714843750000e+02
3.152926025390625000e+02;2.732275390625000000e+02
2.788710937500000000e+02;2.999308776855468750e+02
2.994812927246093750e+02;2.518295135498046875e+02
2.827865295410156250e+02;2.298001556396484375e+02
2.715042724609375000e+02;2.252922058105468750e+02
2.104163208007812500e+02;1.307151184082031250e+02
2.399045410156250000e+02;1.026297683715820312e+02
2.490589752197265625e+02;7.665950775146484375e+01
3.084345703125000000e+02;1.152054290771484375e+02
2.977912597656250000e+02;1.663131866455078125e+02
3.343508300781250000e+02;1.537969207763671875e+02
3.342748718261718750e+02;1.521494598388671875e+02
3.523140869140625000e+02;1.403273315429687500e+02
3.982298889160156250e+02;1.195576553344726562e+02
3.975586547851562500e+02;7.475884246826171875e+01
3.567098388671875000e+02;6.764771270751953125e+01
3.038379821777343750e+02;2.105260658264160156e+01
2.597095947265625000e+02;1.061999225616455078e+01
